E_i,S_i
39,1998
74,1997
33,1993
104,1992
47,1979
177,1977
34,1975
178,1974
111,1971
172,1970
180,1968
92,1965
36,1964
190,1959
164,1958
167,1953
165,1951
53,1949
178,1948
191,1946
13,1945
18,1943
57,1942
91,1941
85,1939
41,1937
122,1936
76,1935
135,1934
34,1932
195,1930
5,1928
48,1925
90,1923
200,1920
85,1917
135,1914
50,1912
103,1910
22,1908
38,1905
188,1900
79,1899
87,1898
165,1897
146,1896
33,1895
161,1894
121,1893
128,1892
200,1891
162,1890
131,1889
15,1888
54,1887
79,1886
194,1885
178,1884
194,1882
119,1879
188,1875
199,1874
132,1873
138,1872
85,1871
136,1870
82,1868
83,1867
195,1866
87,1865
151,1859
140,1858
56,1857
2,1856
144,1854
90,1853
144,1852
68,1851
8,1850
140,1849
58,1845
2,1843
43,1842
189,1837
173,1833
96,1832
19,1831
11,1830
55,1828
159,1825
149,1820
38,1819
18,1817
22,1816
32,1813
148,1812
99,1811
151,1810
71,1808
179,1806
94,1805
110,1797
3,1796
104,1795
180,1793
14,1792
50,1791
59,1788
31,1787
180,1784
28,1782
44,1781
84,1780
133,1779
55,1778
8,1777
194,1772
36,1770
129,1764
162,1761
77,1760
190,1758
83,1756
152,1755
86,1753
108,1752
91,1750
116,1748
177,1744
1,1742
99,1740
188,1738
68,1737
184,1734
180,1732
11,1730
40,1728
185,1726
34,1725
44,1724
9,1722
59,1721
8,1718
115,1717
27,1716
104,1715
4,1714
182,1712
33,1711
77,1709
89,1708
12,1707
198,1706
163,1704
170,1702
99,1699
67,1696
129,1693
147,1691
44,1690
173,1689
153,1686
86,1685
146,1683
31,1682
1,1679
169,1677
20,1675
67,1674
152,1671
49,1670
66,1669
133,1667
62,1666
63,1665
20,1664
181,1661
177,1660
25,1657
36,1652
127,1650
22,1649
161,1648
30,1647
9,1642
38,1639
45,1632
95,1630
161,1629
36,1628
3,1625
117,1622
117,1621
172,1615
119,1613
22,1612
79,1611
198,1610
56,1607
72,1606
64,1605
1,1604
8,1603
150,1600
40,1599
39,1598
81,1595
57,1592
158,1591
130,1590
69,1589
44,1588
122,1587
176,1586
86,1585
80,1580
177,1578
104,1576
178,1574
62,1572
10,1571
68,1570
108,1569
150,1559
94,1557
130,1550
11,1549
14,1548
146,1547
186,1546
109,1542
94,1541
179,1538
142,1537
134,1535
78,1533
118,1531
151,1530
144,1529
120,1526
178,1525
89,1524
163,1521
101,1520
179,1519
100,1515
27,1514
133,1513
42,1512
184,1511
93,1508
152,1505
15,1502
154,1501
50,1500
159,1499
198,1498
108,1497
19,1496
155,1489
5,1484
52,1483
12,1482
34,1481
147,1478
92,1477
108,1476
180,1475
193,1472
165,1471
8,1468
184,1466
167,1463
196,1462
50,1461
166,1459
22,1458
190,1457
160,1456
74,1455
200,1452
178,1449
58,1448
77,1447
81,1446
158,1445
87,1444
156,1443
55,1442
83,1441
67,1440
95,1434
104,1433
90,1427
96,1420
129,1419
145,1409
107,1408
65,1407
48,1406
74,1403
198,1401
92,1398
37,1395
1,1394
74,1392
184,1390
88,1388
158,1386
48,1384
99,1382
20,1381
122,1378
134,1376
67,1373
27,1372
161,1371
50,1369
200,1368
150,1367
55,1366
200,1364
22,1363
19,1362
34,1361
119,1360
79,1359
32,1358
15,1357
131,1356
143,1355
92,1354
196,1352
148,1350
73,1348
56,1347
4,1346
162,1345
100,1344
7,1341
106,1332
46,1329
190,1327
27,1326
41,1325
169,1324
164,1323
55,1322
187,1321
156,1320
82,13205
17,1310
82,1307
184,1305
67,1304
183,1303
134,1302
99,1301
167,1288
134,1287
87,1286
32,1285
105,1284
164,1283
163,1282
5,1281
1,1280
16,1278
15,1276
57,1271
4,1267
139,1265
8,1264
171,1261
104,1256
27,1254
66,1252
48,1249
126,1248
27,1246
180,1239
59,1235
199,1231
107,1228
128,1227
177,1226
87,1224
179,1223
189,1222
78,1218
33,1217
188,1212
83,1211
24,1210
64,1207
159,1201
194,1200
194,1198
141,1191
133,1187
90,1184
48,1183
11,1182
153,1181
193,1180
9,1179
69,1178
154,1177
95,1176
46,1175
75,1174
89,1173
69,1172
119,1171
24,1170
89,1168
10,1167
37,1166
157,1164
7,1160
87,1158
82,1157
104,1153
104,1152
99,1145
84,1144
13,1142
122,1141
147,1140
82,1139
174,1138
1,1133
69,1131
71,1128
151,1126
106,1125
5,1124
85,1122
145,1121
107,1120
87,1119
106,1118
151,1117
46,1116
174,1115
34,1114
85,1113
77,1112
27,1111
72,1110
44,1109
38,1108
65,1107
148,1106
43,1105
119,1102
87,1097
85,1094
142,1092
89,1091
92,1090
150,1086
175,1080
87,1079
15,1078
171,1076
76,1075
25,1073
139,1068
55,1066
27,1056
66,1055
110,1048
46,1038
193,1035
189,1032
174,1029
64,1022
166,1020
87,1018
10,1017
131,1015
106,1014
81,1012
85,1009
113,1008
114,997
96,996
126,995
183,989
197,987
113,984
58,983
56,982
76,981
118,979
126,975
2,970
22,965
118,964
135,963
154,961
155,960
34,958
82,956
63,953
41,951
118,948
55,947
155,946
71,945
84,943
59,942
116,941
91,940
68,938
57,937
87,936
3,935
172,933
200,932
168,931
100,930
58,928
99,921
178,920
190,914
163,912
94,911
189,909
42,908
200,906
37,904
112,898
184,894
27,893
101,891
3,888
99,884
153,881
75,878
157,875
98,868
7,865
57,863
158,862
114,861
72,860
83,859
175,856
190,854
57,851
22,848
119,845
85,844
50,843
31,842
98,841
40,840
116,838
9,837
121,833
191,830
47,827
160,826
162,825
134,823
184,819
75,818
58,813
54,812
2,806
123,803
159,801
81,797
189,794
133,791
86,779
54,775
136,772
46,771
197,768
37,766
1,763
38,760
98,759
54,753
17,752
4,750
74,748
2,746
171,745
19,744
73,743
165,742
171,739
160,738
30,736
168,735
104,733
6,732
126,730
99,725
151,723
21,722
145,720
98,719
153,718
183,717
197,714
116,713
171,712
161,711
141,709
62,708
28,707
67,705
98,704
136,702
187,701
188,700
11,699
46,697
71,696
69,695
70,694
81,693
16,691
191,690
22,689
25,686
105,684
80,683
119,682
45,681
22,680
88,679
98,678
50,674
25,673
6,672
129,671
106,669
59,667
27,663
140,659
123,657
178,653
169,650
102,649
56,648
99,644
99,641
181,638
63,632
126,628
60,627
92,622
44,621
15,620
24,619
151,618
11,617
70,616
136,615
108,612
115,609
141,608
47,605
148,604
193,602
153,601
14,600
121,599
154,598
115,596
150,588
10,587
97,584
14,580
138,578
100,577
112,575
178,574
123,573
84,572
68,571
179,570
158,566
74,562
61,560
44,547
133,545
20,544
96,543
178,542
108,541
54,540
108,535
182,532
90,531
164,526
171,523
120,521
163,517
72,515
141,514
22,513
110,511
139,510
62,507
57,504
28,503
154,502
34,501
137,496
83,495
56,494
96,493
48,492
186,491
20,490
22,489
165,488
22,487
194,486
23,484
39,483
112,482
84,481
191,480
112,479
135,478
51,477
61,476
198,475
124,472
30,470
87,466
63,465
147,463
36,462
59,461
74,460
100,459
116,458
10,457
86,456
160,455
25,453
