E_i,S_i
19660,19998
3003,19997
10325,19992
10145,19987
9783,19986
3750,19985
13712,19982
14638,19980
11695,19978
12263,19976
10308,19975
1858,19974
939,19973
16809,19967
7105,19963
19729,19962
15292,19960
2455,19957
9308,19955
6241,19948
13504,19946
8732,19945
10439,19943
6423,19942
18781,19940
10990,19939
15235,19937
7810,19936
18479,19935
6285,19930
18549,19929
17380,19928
4934,19927
5095,19925
2352,19924
3702,19923
18932,19921
16162,19920
12672,19918
5725,19915
1500,19914
10039,19913
19530,19911
18507,19909
3277,19908
14015,19904
5300,19903
5630,19902
3846,19900
14265,19899
12549,19897
14711,19895
2046,19893
3982,19890
11970,19888
14316,19886
10525,19883
17310,19880
10452,19878
18761,19877
9856,19875
11130,19873
14004,19871
6703,19869
18593,19867
260,19865
16085,19864
12302,19863
19631,19861
19477,19858
16700,19856
4004,19854
18746,19853
15813,19850
11561,19849
14114,19848
13489,19845
15661,19842
11368,19840
9938,19839
15371,19837
16310,19835
3347,19834
17505,19833
18695,19825
2583,19823
938,19821
7162,19820
11160,19818
4283,19814
10620,19813
2592,19811
8481,19810
7731,19809
5929,19806
15989,19805
3424,19804
1377,19802
13353,19800
2005,19799
6918,19797
11737,19795
5086,19793
1939,19792
5441,19789
12721,19788
7170,19787
19486,19786
12211,19785
11743,19784
4707,19783
529,19781
14297,19780
19914,19778
4710,19777
7709,19776
16694,19774
17034,19773
16865,19771
893,19770
4064,19767
9805,19765
7891,19762
9022,19761
16099,19756
11010,19755
7066,19749
19760,19748
18081,19747
7653,19746
15119,19743
5148,19742
11256,19734
7765,19733
16838,19731
11548,19727
13610,19726
11520,19722
19701,19718
9994,19717
15367,19713
16502,19712
3794,19709
9360,19708
17836,19702
7608,19701
11971,19700
6822,19697
17533,19695
233,19692
17205,19690
5590,19687
13057,19685
18462,19684
7075,19683
8345,19682
16195,19681
17596,19678
3184,19677
1424,19674
12516,19672
8256,19671
13077,19669
6737,19666
12963,19664
16289,19663
12953,19662
6950,19658
10124,19657
1470,19654
8318,19653
1929,19652
29,19651
15483,19649
2873,19648
3209,19646
16006,19642
15152,19640
5027,19639
18672,19636
9524,19635
16596,19634
13488,19633
7061,19632
6600,19631
6300,19622
309,19618
8886,19617
7068,19613
6078,19612
12162,19609
12704,19608
4139,19607
10957,19606
8463,19605
9292,19603
7530,19602
6606,19598
14651,19596
14290,19595
4761,19594
5764,19587
8484,19583
11429,19582
13447,19581
2469,19579
13908,19578
7232,19576
14086,19575
8083,19574
18952,19573
15997,19569
15421,19568
11338,19567
6603,19564
9773,19560
5311,19559
7221,19557
9418,19556
2136,19551
6026,19549
4888,19547
17951,19546
2027,19545
19269,19543
16945,19537
16814,19536
17102,19534
2884,19533
4078,19532
16995,19531
10457,19529
8104,19527
3503,19526
18979,19525
7307,19522
95,19521
6220,19520
3833,19519
5174,19518
7629,19517
16981,19516
17774,19515
15613,19514
1378,19511
119,19506
15275,19504
4522,19502
10884,19499
7758,19498
17094,19496
2339,19494
4911,19493
17125,19491
5498,19489
13394,19488
9522,19487
10200,19485
7103,19484
19447,19478
18454,19477
7261,19475
2235,19473
4234,19471
17635,19470
6649,19466
9896,19464
13357,19463
12989,19462
7151,19460
8895,19458
13372,19453
17312,19451
10397,19449
18319,19448
486,19447
809,19446
5875,19442
9578,19440
8279,19439
18101,19436
8479,19431
1965,19430
17647,19429
6980,19428
8338,19424
17843,19423
12172,19422
10207,19418
7055,19416
19468,19415
15150,19414
18382,19413
19868,19412
9457,19409
11679,19408
4407,19407
18432,19405
12966,19403
8026,19398
15318,19397
5562,19396
1133,19395
7574,19394
6124,19389
19197,19388
2122,19386
4305,19385
19105,19382
1645,19378
17369,19376
9108,19375
16942,19373
19600,19372
9388,19370
13653,19369
15704,19362
10364,19358
16270,19357
240,19356
13008,19355
18041,19354
8787,19353
18583,19352
13129,19351
15052,19343
7238,19341
11125,19337
10318,19336
1721,19335
12109,19332
13050,19330
10616,19329
14195,19328
12211,19327
16755,19326
9230,19325
17678,19322
19416,19320
19357,19319
10897,19311
14601,19309
3925,19308
337,19307
8377,19305
4252,19304
7318,19303
16023,19301
13577,19300
166,19299
4135,19298
9701,19296
13070,19295
12417,19294
7939,19292
14361,19290
1151,19289
7653,19288
2382,19286
13063,19285
13801,19283
5540,19282
18377,19281
14217,19276
3067,19272
16659,19271
255,19270
7772,19269
19971,19268
3755,19267
11747,19264
14944,19262
7251,19260
19753,19259
5528,19257
7052,19256
18025,19255
10440,19253
2074,19252
6039,19251
17132,19248
9790,19247
7074,19246
18740,19245
13204,19243
9047,19241
10720,19240
18900,19238
16880,19237
9110,19234
16125,19233
11533,19231
614,19229
15858,19228
12216,19226
2041,19224
2517,19222
16786,19221
17891,19216
1031,19215
13022,19212
1505,19209
2905,19208
12008,19206
109,19204
13547,19201
7979,19199
2040,19196
595,19195
5309,19193
19637,19192
10245,19190
6290,19187
1869,19185
10775,19184
11565,19180
5883,19179
13692,19178
13989,19177
11340,19175
1112,19174
17751,19173
2463,19172
13933,19169
2457,19168
879,19167
15182,19164
3216,19163
16882,19161
685,19160
2013,19157
2891,19154
15864,19152
4764,19149
14723,19148
5460,19146
11554,19143
2200,19142
15583,19139
18674,19137
18427,19135
13752,19134
8253,19132
10172,19130
10300,19127
8201,19125
5916,19121
1664,19119
3157,19115
18206,19114
2993,19112
16147,19110
12300,19107
18055,19103
10717,19102
4137,19098
12537,19097
4135,19092
2851,19086
19805,19085
3052,19084
3585,19083
634,19081
18114,19080
17523,19078
7187,19077
10270,19073
13336,19072
19640,19071
16832,19070
6894,19069
8597,19068
11523,19067
17527,19066
2323,19064
9609,19060
2542,19059
1264,19058
18598,19057
17266,19055
3725,19053
13064,19052
7299,19048
